,1. open,2. high,3. low,4. close,5. volume
2024-12-02 19:22:00,171.4900,171.4900,171.4000,171.4900,63
2024-12-02 19:21:00,171.4899,171.4900,171.4600,171.4900,239
2024-12-02 19:20:00,171.4262,171.4262,171.4262,171.4262,86
2024-12-02 19:19:00,171.4900,171.4900,171.4899,171.4900,34
2024-12-02 19:18:00,171.4300,171.4300,171.4300,171.4300,10
2024-12-02 19:16:00,171.4100,171.5100,171.4000,171.4000,79
2024-12-02 19:15:00,171.4699,171.4699,171.4600,171.4600,32
2024-12-02 19:14:00,171.4600,171.4600,171.4000,171.4000,65
2024-12-02 19:13:00,171.4600,171.4600,171.4400,171.4400,46
2024-12-02 19:12:00,171.5000,171.5200,171.4600,171.5100,74
2024-12-02 19:11:00,171.4600,171.5000,171.4600,171.4600,222
2024-12-02 19:10:00,171.4000,171.4900,171.4000,171.4900,435
2024-12-02 19:09:00,171.4600,171.4600,171.4000,171.4600,38
2024-12-02 19:08:00,171.4600,171.4600,171.4597,171.4597,3
2024-12-02 19:07:00,171.4000,171.4500,171.4000,171.4500,41
2024-12-02 19:06:00,171.4000,171.4600,171.4000,171.4100,38
2024-12-02 19:05:00,171.4500,171.4500,171.4500,171.4500,3
2024-12-02 19:04:00,171.4000,171.4000,171.3600,171.4000,93
2024-12-02 19:03:00,171.3600,171.3600,171.3500,171.3500,12
2024-12-02 19:02:00,171.3900,171.4600,171.3500,171.3500,275
2024-12-02 19:01:00,171.3502,171.3502,171.3502,171.3502,50
2024-12-02 19:00:00,171.3550,171.4572,171.3550,171.4572,3
2024-12-02 18:59:00,171.3900,171.3900,171.3900,171.3900,350
2024-12-02 18:58:00,171.3900,171.3900,171.3500,171.3500,316
2024-12-02 18:57:00,171.3900,171.3900,171.3500,171.3500,108
2024-12-02 18:56:00,171.3900,171.3900,171.3510,171.3800,16
2024-12-02 18:55:00,171.3889,171.3900,171.3617,171.3900,111
2024-12-02 18:54:00,171.3900,171.3900,171.3900,171.3900,81
2024-12-02 18:53:00,171.4600,171.4600,171.3881,171.3881,189
2024-12-02 18:52:00,171.4000,171.4300,171.3500,171.3900,178
2024-12-02 18:51:00,171.4584,171.4600,171.4584,171.4600,46
2024-12-02 18:50:00,171.4600,171.4600,171.4200,171.4200,6
2024-12-02 18:49:00,171.4000,171.4600,171.4000,171.4600,74
2024-12-02 18:48:00,171.4600,171.4600,171.3500,171.4599,146
2024-12-02 18:46:00,171.4600,171.4600,171.4600,171.4600,225
2024-12-02 18:45:00,171.4490,171.4490,171.4475,171.4487,29
2024-12-02 18:44:00,171.4100,171.4300,171.4100,171.4300,65
2024-12-02 18:42:00,171.3800,171.3800,171.3800,171.3800,200
2024-12-02 18:41:00,171.4100,171.4100,171.4100,171.4100,5
2024-12-02 18:40:00,171.4000,171.4200,171.3500,171.3500,64
2024-12-02 18:39:00,171.4288,171.4288,171.4200,171.4200,12
2024-12-02 18:38:00,171.4282,171.4282,171.4282,171.4282,1
2024-12-02 18:37:00,171.3800,171.4000,171.3800,171.4000,78
2024-12-02 18:36:00,171.3500,171.3500,171.3500,171.3500,2
2024-12-02 18:35:00,171.3500,171.4300,171.3500,171.4300,32
2024-12-02 18:34:00,171.3130,171.4000,171.3130,171.4000,11
2024-12-02 18:32:00,171.3500,171.3500,171.3100,171.3100,41
2024-12-02 18:31:00,171.3229,171.3400,171.3229,171.3400,102
2024-12-02 18:30:00,171.3700,171.3800,171.3400,171.3400,21
2024-12-02 18:29:00,171.4600,171.4600,171.3100,171.3100,209
2024-12-02 18:28:00,171.4500,171.4500,171.3800,171.3800,21
2024-12-02 18:27:00,171.3800,171.4600,171.3800,171.4594,18
2024-12-02 18:26:00,171.4600,171.4600,171.3700,171.4600,12
2024-12-02 18:25:00,171.4600,171.4600,171.3800,171.3800,12
2024-12-02 18:24:00,171.4600,171.4600,171.4600,171.4600,2
2024-12-02 18:23:00,171.3100,171.3800,171.3100,171.3800,6
2024-12-02 18:22:00,171.3100,171.3100,171.3100,171.3100,1
2024-12-02 18:21:00,171.4300,171.4600,171.3100,171.4600,15
2024-12-02 18:20:00,171.4900,171.4900,171.3100,171.4600,16
2024-12-02 18:19:00,171.3700,171.4900,171.3700,171.4900,8
2024-12-02 18:18:00,171.4700,171.4714,171.4700,171.4714,35
2024-12-02 18:17:00,171.4900,171.4900,171.4800,171.4900,15
2024-12-02 18:16:00,171.3700,171.4900,171.3700,171.4900,4
2024-12-02 18:15:00,171.3100,171.4900,171.3100,171.3100,26
2024-12-02 18:14:00,171.3900,171.4900,171.3500,171.3500,302
2024-12-02 18:13:00,171.3700,171.3700,171.3700,171.3700,10
